account,open_opportunity,stage,deal_value,install_base,budget_signal,opportunity_stage,install_base_category,lifecycle_pressure,strategic_initiative,multi_site,cloud_complexity,security_priority,renewal_window_months,service_performance_issue,recent_incident,compliance_deadline,ai_initiative,site_count,affected_users
Meridian Health Systems,true,Solution Validation,185000,Webex Calling|Webex Meetings|Cisco Catalyst Switching,FY26 collaboration modernization budget approved,Solution Validation,Collaboration,Webex Calling contract renewal within fiscal year,Hybrid-work collaboration redesign,true,medium,false,9,false,false,false,false,14,6200
Bramblewood Retail Group,false,,0,Meraki Wireless,,,Networking,,,true,low,false,,false,false,false,false,42,900
Talus Financial Partners,true,Discovery,92000,Cisco Firepower|Cisco ISE,Security budget under review for next fiscal year,Discovery,Security,Firepower hardware end-of-sale approaching,Zero trust access rollout,true,medium,true,11,false,false,true,false,6,3100
Harrowgate Manufacturing,false,,0,Cisco Catalyst Switching,,,Networking,,,false,low,false,,false,false,false,false,1,450
Northline Logistics,true,Negotiation,310000,Cisco XDR|Cisco Umbrella,Board-approved SOC modernization budget,Negotiation,Security,Legacy SIEM renewal overlapping with SOC modernization,SOC consolidation and MDR evaluation,true,medium,true,4,false,true,false,false,9,5400
Cascade Health Network,true,Solution Validation,220000,Catalyst Center|Meraki Dashboard|ThousandEyes,FY26 NOC consolidation budget approved,Solution Validation,Networking,Overlapping Catalyst Center and Meraki contract renewals,NOC consolidation and network-operations transformation,true,medium,false,6,false,false,false,false,28,9800
Vantage Global Freight,true,Discovery,140000,ThousandEyes|Catalyst SD-WAN,Executive sponsor requesting SLA remediation budget,Discovery,Networking,SLA penalty clauses tied to ISP performance,Global SaaS migration and ISP consolidation,true,high,false,10,true,false,false,false,63,15000
Ferrowick County Government,true,Discovery,98000,Splunk Enterprise|legacy SIEM,Compliance-driven SIEM modernization funding identified,Discovery,Security / Data,Legacy SIEM approaching end-of-support,SIEM replacement ahead of state audit,true,medium,true,5,false,false,true,false,3,1200
Solace Biotech Research,true,Solution Validation,410000,Nexus 9000|NVIDIA GPUs|Intersight,Capital budget approved for AI infrastructure buildout,Solution Validation,AI Infrastructure,GPU delivery lead times affecting research timelines,Production AI factory and GPU cluster expansion,false,high,false,8,false,false,false,true,2,340
Ridgeline Data Partners,true,Negotiation,275000,Nexus 9000|ACI|APIC,Fabric refresh budget included in FY26 capital plan,Negotiation,Data Center,ACI fabric nearing hardware end-of-life,Data-center fabric consolidation across two sites,true,high,false,7,false,false,false,false,2,780
Brightwell Insurance Group,true,Discovery,165000,Cisco Umbrella|Cisco Duo|Catalyst SD-WAN,Security budget earmarked for VPN replacement,Discovery,Security / Networking,Legacy VPN concentrators end-of-sale,SASE roadmap replacing legacy remote access,true,medium,true,9,false,false,false,false,11,2600
Nimbus Cloud Commerce,true,Solution Validation,132000,Splunk|Kubernetes|public cloud,Observability consolidation budget approved for the platform team,Solution Validation,Observability,Frequent incident MTTR escalations from fragmented tooling,Observability consolidation for cloud-native platform,false,high,false,6,true,true,false,false,1,4400
